speakerName,speakerUID,attempt,detectedLatencyMilliseconds,peak,secondBestPeak,prominence,confidence,captureRMSBeforeProbe,captureRMSDuringA,captureRMSDuringB,capturePeakAmplitude,clippingCount,aCorrelationPeak,bCorrelationPeak,signedCombinedPeak,noiseFloorRMS,estimatedSNRdB,candidateNearSearchBoundary,searchRangeStart,searchRangeEnd,captureSliceStart,captureSliceEnd,peakScore,prominenceScore,minimumPeak,minimumConfidence,error,time,pid,run,candidateAcousticLatencyMs,level,runID,accepted,schedule_speakerIndex,schedule_speakerName,schedule_scheduledHostTime,schedule_microphoneSampleIndex,schedule_searchWindowStart,schedule_searchWindowEnd
MacBook Pro Speakers,BuiltInSpeakerDevice,1,323.445741,0.594989,0.059256,10.040980,0.654820,0.003844,0.064905,0.063337,0.184162,0,0.594502,0.595577,-0.594989,0.003844,24.445593,false,0,22035,10947,50688,0.539760,1.000000,0.120000,0.350000,none,2026-09-10 06:10:24.391,80293,1,318.4192823832199,0.12,80293-1,True,0,MacBook Pro Speakers,10111973485599,11168.666825,0,22035
JBL Go 5,74-68-59-E0-71-4C:output,1,461.976135,0.522097,0.190800,2.736362,0.592696,0.004078,0.006309,0.008347,0.032730,0,0.402591,0.621253,-0.522097,0.004078,5.174768,false,0,23571,81091,122368,0.456928,1.000000,0.120000,0.350000,none,2026-09-10 06:10:26.022,80293,1,456.95071837868466,0.12,80293-1,True,1,JBL Go 5,10112011659370,81312.620873,0,23571
MIDDLETON,68-59-32-EA-E5-67:output,1,303.649274,0.255490,0.059448,4.297738,0.365475,0.004011,0.005767,0.005811,0.021432,0,0.269518,0.241570,-0.255490,0.004011,3.186148,false,0,22547,152771,193024,0.153966,1.000000,0.120000,0.350000,none,2026-09-10 06:10:27.610,80293,1,298.62389937414986,0.12,80293-1,True,2,MIDDLETON,10112050669063,152992.619021,0,22547
MacBook Pro Speakers,BuiltInSpeakerDevice,2,323.446043,0.598191,0.060907,9.821366,0.657549,0.004494,0.064819,0.064450,0.190631,0,0.598088,0.598300,-0.598191,0.004494,23.156842,false,0,24083,222915,264704,0.543399,1.000000,0.120000,0.350000,none,2026-09-10 06:10:29.241,80293,1,318.4207933854873,0.12,80293-1,True,0,MacBook Pro Speakers,10112088842830,223136.613508,0,24083
JBL Go 5,74-68-59-E0-71-4C:output,2,461.781566,0.576722,0.054866,10.511517,0.639252,0.003599,0.008345,0.008071,0.033683,0,0.611384,0.541046,-0.576722,0.003599,7.162391,false,0,22547,295107,335360,0.519002,1.000000,0.120000,0.350000,none,2026-09-10 06:10:30.830,80293,1,456.75619037641775,0.12,80293-1,True,1,JBL Go 5,10112128131164,295328.619065,0,22547
MIDDLETON,68-59-32-EA-E5-67:output,2,302.974401,0.229550,0.052776,4.349480,0.343366,0.004106,0.005817,0.006060,0.024140,0,0.210183,0.248234,-0.229550,0.004106,3.206933,false,0,23059,365251,406016,0.124488,1.000000,0.120000,0.350000,"Correlation confidence is too low (confidence=0.34, peak=0.230, secondBest=0.053, prominence=4.35, offset=13361.2 samples).",2026-09-10 06:10:32.435,80293,1,297.94915038775457,0.12,80293-1,False,2,MIDDLETON,10112166304932,365472.613552,0,23059
MacBook Pro Speakers,BuiltInSpeakerDevice,3,323.445937,0.596530,0.061104,9.762558,0.656134,0.004526,0.061812,0.061926,0.166160,0,0.596704,0.596358,-0.596530,0.004526,22.714923,false,0,22547,436419,476672,0.541512,1.000000,0.120000,0.350000,none,2026-09-10 06:10:34.062,80293,1,318.4207283832198,0.12,80293-1,True,0,MacBook Pro Speakers,10112205035981,436640.611700,0,22547
JBL Go 5,74-68-59-E0-71-4C:output,3,461.562298,0.611681,0.058036,10.539725,0.669046,0.004687,0.008237,0.008125,0.031226,0,0.629680,0.593461,-0.611681,0.004687,4.837853,false,0,21523,507587,546816,0.558728,1.000000,0.120000,0.350000,none,2026-09-10 06:10:35.655,80293,1,456.5370063900228,0.12,80293-1,True,1,JBL Go 5,10112243767030,507808.615360,0,21523
MIDDLETON,68-59-32-EA-E5-67:output,3,302.270001,0.209948,0.055065,3.812738,0.326660,0.003968,0.005880,0.005669,0.023300,0,0.202106,0.218153,-0.209948,0.003968,3.259291,false,0,22035,577731,617472,0.102214,1.000000,0.120000,0.350000,"Correlation confidence is too low (confidence=0.33, peak=0.210, secondBest=0.055, prominence=3.81, offset=13330.1 samples).",2026-09-10 06:10:37.265,80293,1,297.24462637414985,0.12,80293-1,False,2,MIDDLETON,10112281940800,577952.619021,0,22035
MIDDLETON,68-59-32-EA-E5-67:output,4,302.037665,0.216981,0.052738,4.114291,0.332655,0.004282,0.005656,0.005679,0.024909,0,0.242848,0.191219,-0.216981,0.004282,2.434635,false,0,22547,649411,689664,0.110206,1.000000,0.120000,0.350000,"Correlation confidence is too low (confidence=0.33, peak=0.217, secondBest=0.053, prominence=4.11, offset=13319.9 samples).",2026-09-10 06:10:38.878,80293,1,297.01220638321945,0.12,80293-1,False,2,MIDDLETON,10112320950491,649632.622725,0,22547
MIDDLETON,68-59-32-EA-E5-67:output,5,301.817431,0.205474,0.054330,3.781986,0.322847,0.003929,0.006132,0.005563,0.022585,0,0.184658,0.228930,-0.205474,0.003929,3.463085,false,0,22547,720579,760832,0.097129,1.000000,0.120000,0.350000,"Correlation confidence is too low (confidence=0.32, peak=0.205, secondBest=0.054, prominence=3.78, offset=13310.1 samples).",2026-09-10 06:10:40.508,80293,1,296.79201437868466,0.12,80293-1,False,2,MIDDLETON,10112359681540,720800.620873,0,22547
MacBook Pro Speakers,BuiltInSpeakerDevice,1,323.447078,0.526869,0.058384,9.024164,0.596763,0.004023,0.116151,0.112922,0.342906,0,0.527020,0.526820,-0.526869,0.004023,29.088382,false,0,21531,10939,50176,0.462351,1.000000,0.120000,0.350000,none,2026-09-10 06:11:44.839,80293,2,318.426130494331,0.12,80293-2,True,0,MacBook Pro Speakers,10113904426436,11160.423785,0,21531
JBL Go 5,74-68-59-E0-71-4C:output,1,242.135440,0.114679,0.110319,1.039513,0.019757,0.003272,0.003817,0.006561,0.031832,0,0.001783,0.186605,0.114679,0.003272,4.298139,false,0,22555,80571,120832,0.000000,0.079027,0.120000,0.350000,"Correlation confidence is too low (confidence=0.02, peak=0.115, secondBest=0.110, prominence=1.04, offset=10678.2 samples).",2026-09-10 06:11:46.434,80293,2,237.11553349206335,0.12,80293-2,False,1,JBL Go 5,10113942321569,80792.377877,0,22555
MIDDLETON,68-59-32-EA-E5-67:output,1,304.370017,0.201592,0.055838,3.610319,0.319538,0.003778,0.005364,0.005437,0.020263,0,0.243865,0.159896,-0.201592,0.003778,3.102812,false,0,22043,151739,191488,0.092718,1.000000,0.120000,0.350000,"Correlation confidence is too low (confidence=0.32, peak=0.202, secondBest=0.056, prominence=3.61, offset=13422.7 samples).",2026-09-10 06:11:48.045,80293,2,299.3503194943309,0.12,80293-2,False,2,MIDDLETON,10113981052621,151960.368660,0,22043
MacBook Pro Speakers,BuiltInSpeakerDevice,2,323.446727,0.591866,0.062924,9.405981,0.652159,0.003851,0.064658,0.064178,0.184528,0,0.592201,0.591537,-0.591866,0.003851,24.469242,false,0,23579,222395,263680,0.536212,1.000000,0.120000,0.350000,none,2026-09-10 06:11:49.689,80293,2,318.42686248752824,0.12,80293-2,True,0,MacBook Pro Speakers,10114019505036,222616.376025,0,23579
JBL Go 5,74-68-59-E0-71-4C:output,2,459.414957,0.563430,0.054996,10.244884,0.627923,0.003632,0.009012,0.009073,0.036587,0,0.563491,0.563376,-0.563430,0.003632,7.923842,false,0,23067,294587,335360,0.503898,1.000000,0.120000,0.350000,none,2026-09-10 06:11:51.305,80293,2,454.3953424875286,0.12,80293-2,True,1,JBL Go 5,10114058793368,294808.365000,0,23067
